vneg,neg,neutral,pos,vpos
1,6,0,0,0
0,10,2,1,0
1,8,3,0,0
1,24,8,0,0
2,18,3,0,0
1,8,0,0,0
0,18,4,0,0
0,6,4,4,0
0,7,1,1,0
1,13,2,1,0
3,7,2,1,0
0,11,5,3,0
0,4,3,3,0
0,8,2,0,0
0,6,0,2,0
0,4,4,2,0
1,9,1,0,0
0,9,3,1,0
2,14,9,2,0
3,36,10,3,0
1,7,0,0,0
0,9,2,0,0
2,3,0,0,0
0,11,1,1,0
1,13,1,2,0
1,27,8,4,0
0,16,3,1,0
0,8,2,1,0
0,10,3,2,0
0,9,1,1,0
0,4,0,0,0
0,8,3,3,0
0,6,2,0,0
0,6,1,1,0
0,17,4,0,0
0,9,1,0,0
0,8,2,0,0
0,3,1,2,1
2,8,1,1,0
0,3,1,0,0
0,4,1,0,0
0,10,2,4,0
0,6,0,0,0
4,44,3,9,0
0,12,2,1,0
1,16,1,1,0
0,5,7,4,0
0,9,1,0,0
0,8,1,0,0
2,4,0,3,0
0,4,2,1,0
1,0,0,0,0
2,11,2,2,0
2,11,0,0,0
0,21,1,2,0
0,15,1,0,0
0,7,0,0,0
1,5,0,0,0
0,10,3,1,0
1,13,2,0,0
0,2,0,1,0
0,5,1,0,0
1,4,0,1,0
1,3,0,0,0
0,6,2,1,0
0,8,3,1,0
0,4,0,0,0
0,2,0,1,0
0,12,1,1,1
0,13,3,1,0
0,5,1,2,0
0,6,1,0,0
0,5,1,0,0
1,4,2,2,0
0,7,1,0,0
0,4,3,0,0
0,6,5,2,0
0,3,2,0,0
0,9,1,0,0
0,14,1,2,0
0,3,0,0,0
0,7,6,0,0
0,9,1,2,0
0,5,3,1,0
2,16,11,1,0
1,7,5,0,0
0,5,4,2,0
0,4,2,0,0
1,12,1,0,0
0,2,1,0,0
0,3,4,1,0
0,13,8,2,0
0,10,4,2,0
0,24,13,4,0
0,6,2,0,0
0,12,2,0,0
0,8,5,1,0
0,2,1,0,0
0,6,0,2,0
0,19,7,1,0
2,5,1,2,0
0,3,0,1,0
0,2,4,2,0
0,27,11,3,1
0,5,0,1,0
1,6,3,1,0
1,8,0,0,0
2,4,0,1,0
0,7,2,1,0
1,4,0,0,0
0,2,0,0,0
0,7,1,0,0
0,3,0,0,0
0,7,2,1,0
0,4,2,0,0
0,5,0,0,0
0,8,2,1,0
0,20,10,3,0
0,5,6,0,0
0,12,6,1,0
1,9,4,0,0
0,3,4,1,0
1,7,1,0,0
0,3,0,0,0
1,2,0,0,0
0,1,1,0,0
0,5,0,0,0
0,10,4,1,0
0,51,16,16,1
0,13,4,2,0
0,18,11,2,0
0,10,2,0,0
1,7,6,0,0
0,6,3,0,0
0,4,2,1,0
